"","V1"
"1",15.46
"2",9.78734729551329
"3",36.0398215155547
"4",31.3003179136502
"5",24.8468259769876
"6",58.1686097322269
"7",20.9087848796573
"8",8.54539742615904
"9",21.6179836591227
"10",65.1292376875734
"11",20.8409300921526
"12",14.6751952455
"13",68.4522635988777
"14",12.5987941742377
"15",62.9403027661096
"16",66.12106936072
"17",28.6120644410052
"18",27.982316777109
"19",21.0593517756421
"20",139.902730160113
"21",85.83318957822
"22",39.7880530907661
"23",14.820109466114
"24",11.0229960292534
"25",18.262105652598
"26",22.6287730892307
"27",55.9978128035978
"28",62.2521729943095
"29",21.1985219490037
"30",19.007342749516
"31",41.2718342013102
"32",62.9338321053201
"33",67.1094714266826
"34",26.6588531008884
"35",38.4559251125043
"36",26.7085420524756
"37",17.8270028058314
"38",28.3507247564883
"39",25.3813994138104
"40",29.789668679156
"41",76.1365374204779
"42",125.132428845581
"43",116.352470313175
"44",22.2636407954699
"45",16.5155226529663
"46",12.7343016917411
"47",18.5612441738671
"48",30.8222612373718
"49",24.3778127173421
"50",20.6009288925803
"51",51.4829236077922
"52",18.6043056390054
"53",29.799721350292
"54",24.7279412166354
"55",29.7874468304294
"56",189.709813856926
"57",161.49081256685
"58",244.812654063339
"59",102.553210100592
"60",70.8676469791491
"61",139.732823908438
"62",255.182875114035
"63",65.584293690748
"64",45.3111959849483
"65",35.9246519749208
"66",96.8195791937646
"67",59.0835116829618
"68",104.254877141452
"69",185.170528868675
"70",93.6959511449394
"71",43.6492693755508
"72",8.64410971976807
"73",47.9268194683127
"74",18.3348871265503
"75",37.3360839566538
"76",13.7853483933878
"77",5.95268603890524
"78",49.7836949079566
"79",37.7983161438636
"80",70.8854278304787
"81",145.447468081811
"82",73.740287890549
"83",100.785384729163
"84",41.3206916072754
"85",44.4593074749374
"86",76.3777035672852
"87",51.040993083861
"88",150.270860800442
"89",21.5837649846095
"90",74.404266671133
"91",102.427220233467
"92",72.3517100195133
"93",85.6876456267181
"94",212.066527720421
"95",25.7126168458487
"96",30.9373500840839
"97",27.651502271615
"98",15.2794931920037
"99",21.5245404313972
"100",82.7796120465505
"101",21.0537849101827
"102",22.9850721596736
"103",27.7248139771402
"104",26.5102094462013
"105",95.6204019357489
"106",139.872333279757
"107",93.4232681930329
"108",78.9642676834535
"109",124.431989426711
"110",87.6927539137766
"111",24.614468218901
"112",17.3268949205502
"113",24.2181387393962
"114",9.0727438860093
"115",35.6448549262288
"116",30.9574851496272
"117",174.201485995235
"118",75.6584877114843
"119",78.578074809351
"120",386.108453410442
"121",76.6928953237459
"122",43.1003311019056
"123",57.0409408414409
"124",36.3404520508311
"125",101.878912965649
"126",164.091925718463
"127",173.92806342688
"128",254.295288454035
"129",124.760836786529
"130",21.3849593605098
"131",54.5536459217902
"132",27.4954871092412
"133",15.0506770959037
"134",27.1214633368528
"135",6.96936488574467
"136",46.8226205013206
"137",52.4435244133402
"138",27.8657893977074
"139",10.8101717687546
"140",85.3047518462935
"141",39.4976217591332
"142",13.1568904646032
"143",32.3998391393656
"144",23.1748336280065
"145",180.416838949463
"146",148.6912471141
"147",56.0061562581937
"148",84.7349557779499
"149",30.9939987830465
"150",15.6080397333945
"151",14.2602370434189
"152",28.5587593813245
"153",14.1706835782968
"154",36.7431447307903
"155",20.836939673799
"156",45.4531501857738
"157",117.734807566698
"158",148.089570288223
"159",197.666086756306
"160",53.3918972339972
"161",51.6036035907898
"162",18.7777963311592
"163",19.0908479991258
"164",22.8140346111506
"165",11.6579551759311
"166",37.0428824565225
"167",16.55898984814
"168",31.9269173191327
"169",113.292879284785
"170",60.6954845438208
"171",17.5276222811683
"172",18.6955257541038
"173",100.707137907659
"174",176.801029378545
"175",28.2307246049925
"176",24.5346884537286
"177",189.837648212908
"178",31.8897920681097
"179",176.557961622523
"180",259.940065450449
"181",48.7934666276611
"182",69.1549904339222
"183",22.5565921834644
"184",21.7835041221639
"185",12.411105998235
"186",16.6424661402489
"187",12.2716110489984
"188",12.7408124762048
"189",42.1207982915525
"190",24.5695136078554
"191",20.4103928210004
"192",28.7819065928987
"193",17.9174516016769
"194",67.6766436193599
"195",18.748595718961
"196",75.0542607148275
"197",82.7658902336875
"198",7.73880819088134
"199",40.8912346879017
"200",22.1925282014673
"201",28.5463127822775
"202",48.9285193107443
"203",17.0427782898429
"204",25.1807744196234
"205",101.276720649225
"206",88.0830427700522
"207",79.6185185788206
"208",115.150572123807
"209",52.3657026758899
"210",49.1599175012072
"211",12.5448794439706
"212",21.6447058223599
"213",13.0825718864706
"214",14.1553353533288
"215",14.3203042203364
"216",21.1124016505541
"217",8.52798820944364
"218",72.1491205218083
"219",128.633200467149
"220",55.5849153641311
"221",93.1853889586509
"222",72.9033767650169
"223",25.2340162405194
"224",11.8167183840955
"225",16.7017864665566
"226",11.6701014620307
"227",13.6055507042636
"228",25.9538810065826
"229",70.9675330970933
"230",54.2701424904491
"231",133.419143467332
"232",19.9718418514088
"233",31.2533336768291
"234",31.5303820213487
"235",69.2762547828018
"236",88.7736889746321
"237",206.834783260907
"238",163.233058315234
"239",113.095296744404
"240",88.6395995739989
"241",142.65308493638
"242",362.499454207414
"243",60.2377540518246
"244",31.3993357181974
"245",31.5877731081815
"246",158.62225362531
"247",22.1836096752174
"248",60.1861154666267
"249",27.2574686551139
"250",59.6382434790168
"251",37.4080036143544
"252",23.3755806366917
"253",19.2845298682637
"254",132.532875307023
"255",129.72595021897
"256",54.616722059292
"257",236.394782655577
"258",140.537509145475
"259",211.468396305534
"260",478.516184922558
"261",585.799212358874
"262",1141.75594766718
"263",934.360410250693
"264",266.174575632532
"265",395.560982933188
"266",276.782808006546
"267",47.4721266569831
"268",95.3991478883467
"269",126.993480172122
"270",28.6762711464312
"271",29.1287401578871
"272",9.76210519132826
"273",37.8165854601359
"274",91.5853072311728
"275",262.299880380913
"276",411.142712988995
"277",62.0733688560995
"278",6.84541802674482
"279",9.61427427560369
"280",33.4585354395474
"281",50.2159722898318
"282",29.7349881967223
"283",32.4304116310304
"284",10.3036051798137
"285",42.1040323513363
"286",64.928771501843
"287",72.7655911332
"288",64.0396562162894
"289",25.8735068714586
"290",45.834455877467
"291",83.8528617725526
"292",79.7670457404738
"293",62.9322381319228
"294",104.006977538664
"295",154.349777677021
"296",38.411799249188
"297",92.4174803612156
"298",114.22420551781
"299",137.112352092595
"300",22.348711220643
"301",50.5553730534735
"302",26.8576537110296
"303",55.1042950204354
"304",75.2309810301482
"305",37.7498849899724
"306",33.1634470134209
"307",24.1857683870166
"308",42.3132970062722
"309",88.8143540009962
"310",10.1255574231797
"311",78.3033062754371
"312",53.4881101890087
"313",107.509549324113
"314",87.881181933287
"315",153.33375236591
"316",116.725320559851
"317",90.2030734655085
"318",107.255695757856
"319",38.2115563118193
"320",51.7282445740713
"321",24.7402635943145
"322",21.106468377675
"323",29.2878216597286
"324",20.3021476643916
"325",11.4606292315139
"326",21.0773625105634
"327",24.7152556576813
"328",58.2087092803484
"329",71.9939138439651
"330",149.789063286213
"331",400.184849123275
"332",182.982333960565
"333",186.180163273363
"334",249.156505492179
"335",114.116775949185
"336",136.139332625331
"337",38.1058827976942
"338",28.1271332336725
"339",44.2291444792647
"340",41.6435408317184
"341",183.227710900176
"342",106.575005192022
"343",41.7943877002308
"344",35.3657246760607
"345",23.6750720847965
"346",10.6071702410024
"347",23.1764014850469
"348",97.3345603847495
"349",468.963245361311
"350",283.044229040061
"351",266.054754994038
"352",645.153934012548
"353",490.968920038483
"354",50.2197241864867
"355",71.1839953713376
"356",47.2216656203367
"357",31.6969083295811
"358",22.0151019886359
"359",13.8310745609278
"360",31.3848813054492
"361",73.6044404383195
"362",39.9205753249452
"363",35.5833391335544
"364",41.6813562292158
"365",26.4273985608297
"366",17.9526006536322
"367",11.6074916415804
"368",32.2800163552674
"369",7.77327500490619
"370",5.26566110555906
"371",9.52144359063533
"372",64.0031970628651
"373",146.303807682482
"374",196.018943132896
"375",58.0078383120371
"376",207.959987143936
"377",71.3990410945947
"378",48.3610219993136
"379",62.7707421150769
"380",318.926907568909
"381",237.90351021369
"382",39.3280880239364
"383",52.2106039996659
"384",122.843277153163
"385",168.469299711563
"386",18.6612447148414
"387",129.604658942533
"388",80.9642829022344
"389",68.4580131358817
"390",25.9385726646889
"391",15.1231530922314
"392",12.5450607388483
"393",71.1564637540966
"394",70.4268502980088
"395",41.6172547895445
"396",33.4069153396594
"397",55.6828961254333
"398",24.0907701418514
"399",28.8595268338527
"400",15.7352574989665
"401",47.9009032811026
"402",31.4206651187013
"403",26.099238014069
"404",78.5805247462411
"405",20.9014675829031
"406",8.55422550431363
"407",12.4274354940659
"408",17.5902310777659
"409",57.5303718851395
"410",190.066068882982
"411",268.918985799049
"412",138.204962315762
"413",58.2136858368732
"414",35.4908195726315
"415",58.4619054412624
"416",127.877127966347
"417",60.5396488948026
"418",109.012493272888
"419",148.827896159892
"420",110.625238682109
"421",89.8762929533808
"422",101.770466484721
"423",176.70349083488
"424",213.644676042803
"425",267.32155204934
"426",128.358151124901
"427",472.550828313588
"428",1335.17966867139
"429",538.803786832287
"430",467.865404001288
"431",1385.55707709682
"432",523.3847194139
"433",936.030930075328
"434",225.632585599895
"435",82.5991564439211
"436",272.619023628444
"437",245.527660145459
"438",112.428259698637
"439",115.59150985918
"440",142.996054368494
"441",297.511499703742
"442",600.872186343551
"443",46.4324771209813
"444",16.3025135575113
"445",29.4344547483294
"446",53.4518260479022
"447",371.72136320055
"448",89.5775604217486
"449",30.5554485525715
"450",31.7088420839015
"451",86.3742555137368
"452",47.6075656244515
"453",37.9133684265785
"454",32.7039059820896
