"","V1"
"1",15.259
"2",20.5835355118236
"3",22.3014911191292
"4",23.0635822482407
"5",24.0544730284275
"6",23.6200112677202
"7",23.9940494526238
"8",23.9171512843224
"9",22.3541666123772
"10",21.647444145465
"11",22.4315164717292
"12",22.7214818496206
"13",22.7907068163843
"14",22.4079229596618
"15",22.6759454042192
"16",22.6255023919514
"17",21.2544096863934
"18",20.8053726354365
"19",21.8478793400807
"20",21.1406612386906
"21",20.8357715012694
"22",20.9560658345508
"23",20.729784491042
"24",20.8589180271463
"25",20.3458743860315
"26",21.0420272679916
"27",21.3786608517832
"28",20.8598898531306
"29",21.3585549109967
"30",21.4448615379606
"31",21.0027581729336
"32",20.4336160166019
"33",21.1057691671702
"34",20.3998556619623
"35",20.7288912036746
"36",21.4134352218836
"37",21.2182321013111
"38",20.721848426071
"39",19.9474776444345
"40",20.0345579288001
"41",19.545669664398
"42",18.6245675768548
"43",18.9993206433566
"44",18.4308979703614
"45",18.1825965727012
"46",17.8838468355884
"47",16.8460847241933
"48",16.2750835547686
"49",16.5468942042211
"50",16.8584917051973
"51",17.0077907350701
"52",17.2112979563547
"53",16.4589459873335
"54",17.3253607683788
"55",17.8638507208884
"56",17.4286200307092
"57",17.2362980417565
"58",17.3803347005868
"59",17.390791344679
"60",16.4934715163516
"61",16.1953948912539
"62",15.5912310341824
"63",15.4502445134007
"64",15.4207154332003
"65",15.332620861515
"66",15.0292988735567
"67",14.9074312068532
"68",14.5919398882764
"69",15.0199605716014
"70",14.6609738490034
"71",14.6991619692226
"72",14.844330207428
"73",14.4535284112936
"74",14.504696378382
"75",14.9783380550374
"76",14.2351282004499
"77",14.8682182866173
"78",14.516197167704
"79",14.6448590228525
"80",14.5588436691838
"81",14.4673062650994
"82",14.4689708652884
"83",14.5043193775042
"84",14.1509640530223
"85",14.0924666459831
"86",14.2585887642281
"87",13.4667249831571
"88",13.1868367762657
"89",13.5951128058902
"90",13.4487019794911
"91",13.2340550251131
"92",13.267348997092
"93",13.0829716824264
"94",12.9502197529527
"95",13.5832923263624
"96",13.3623706619939
"97",13.4371103998645
"98",12.7174757842725
"99",12.6965226985615
"100",12.8100687737615
"101",12.3125594245196
"102",12.0846767290653
"103",12.4726030009679
"104",13.2001604625165
"105",13.1535939739132
"106",13.1744319994694
"107",12.962763938852
"108",13.0859924220823
"109",13.3420734615862
"110",13.2352551506934
"111",13.4230086184154
"112",13.6168036933385
"113",13.5341799369541
"114",14.005948041164
"115",13.5244231827371
"116",13.452679665438
"117",13.7372828244929
"118",14.2709583469605
"119",13.8439833224225
"120",14.6236468508276
"121",14.7534963318852
"122",14.4827351042717
"123",14.6455297378475
"124",14.8429442957158
"125",14.8756736891328
"126",14.3224862284169
"127",14.337041608139
"128",13.4185509122426
"129",13.2462648397013
"130",12.9254073517367
"131",12.9760626757558
"132",13.537131977183
"133",13.8071462404208
"134",14.038804958562
"135",14.6105017261369
"136",14.8340868362916
"137",15.0692040493158
"138",15.2698924885237
"139",15.1087644338845
"140",15.5796287118529
"141",16.1341675122606
"142",15.658961063804
"143",15.5265852786336
"144",15.2867192360016
"145",14.8576706756567
"146",14.7889565776975
"147",14.1704451622493
"148",14.0107659313907
"149",13.537838364086
"150",12.775728564355
"151",12.9280728605064
"152",13.0830618181431
"153",13.5430565099365
"154",12.9744904135359
"155",12.5164629070548
"156",12.7953952997987
"157",12.6138622205771
"158",12.4574159567336
"159",12.6649205828777
"160",12.4823260757631
"161",12.9476291755494
"162",13.0629613454549
"163",13.3172920795351
"164",13.0494218363066
"165",13.1249810715777
"166",13.0039750594801
"167",12.4773140175098
"168",12.7881449092828
"169",12.6955590102286
"170",12.4232573269954
"171",12.0573445859733
"172",12.076666777626
"173",12.1232867317033
"174",12.357161970127
"175",12.4067544374217
"176",12.803782795279
"177",13.3289234984379
"178",12.8816711056219
"179",13.2787370325568
"180",12.0745526607486
"181",11.9081131646036
"182",11.5182099412797
"183",11.7956582814703
"184",11.6694297084324
"185",11.4374369776496
"186",10.8101313767494
"187",11.2604534691541
"188",11.5448467611797
"189",11.7952120904996
"190",11.9482604030783
"191",11.9457718621725
"192",12.0590262005703
"193",11.8014297354227
"194",11.7919413366051
"195",11.338201574923
"196",11.1277359492873
"197",11.1268014682166
"198",11.1252658349026
"199",11.3201501212929
"200",11.4220027796521
"201",11.1671205096366
"202",11.1545070103833
"203",10.5339655877602
"204",10.1464538415554
"205",10.0622338780876
"206",10.4230353633159
"207",10.1253113236744
"208",10.1813834968246
"209",10.4855380062249
"210",10.3670890428065
"211",10.0224420335889
"212",9.95022134991634
"213",10.1363282446478
"214",10.0830662140143
"215",9.77031619505843
"216",9.65396336010295
"217",9.62227314507903
"218",9.68210736411735
"219",9.83623589869456
"220",9.62534632517254
"221",9.47702708566347
"222",9.614257919132
"223",9.66678501088364
"224",9.63717710654481
"225",9.53568676151871
"226",9.50491730852044
"227",9.2670580263819
"228",9.5254120233792
"229",9.75883137058299
"230",9.31230312977775
"231",9.35626396458698
"232",9.34990889560998
"233",9.29263121850872
"234",9.64380164105741
"235",9.70670435164365
"236",9.60946964527425
"237",9.80907590624625
"238",9.50402221757473
"239",9.31782980538088
"240",9.28577763669497
"241",9.13799165876617
"242",9.24534731974803
"243",9.71344263444074
"244",9.19913149826066
"245",9.45984470379388
"246",9.57021690513677
"247",9.47228110944227
"248",9.38735785962372
"249",9.5570961729292
"250",9.82067447554774
"251",9.87536093869037
"252",9.68514642684249
"253",9.66012262934554
"254",9.51073980143009
"255",9.48574957329725
"256",9.54082673914604
"257",9.42872603346901
"258",9.44183112596035
"259",9.49167882191877
"260",9.65253701105608
"261",10.0912898216806
"262",10.123306386131
"263",9.9399060780859
"264",9.71134600274106
"265",9.44797082084075
"266",9.20177954040492
"267",9.19972645921588
"268",9.31827127178445
"269",9.38535059315164
"270",9.3621611047048
"271",9.15274900489242
"272",8.662617596933
"273",8.57125142855306
"274",8.33743969270055
"275",8.36418978779861
"276",8.40621005845309
"277",8.51555169842993
"278",8.39546029294836
"279",8.4688734552528
"280",8.13600920525229
"281",8.13244581433631
"282",7.99167000641519
"283",7.99673230502714
"284",7.96926994761086
"285",7.56905795666811
"286",7.34163763698123
"287",7.04977564637517
"288",7.03127811953403
"289",6.85380495419876
"290",6.83069981648179
"291",6.5693161278553
"292",6.37167577604935
"293",6.32659888401411
"294",6.53857548061793
"295",6.57373746142545
"296",6.49971254536899
"297",6.94415318596892
"298",6.75713395212611
"299",6.73216789648711
"300",6.66009526699678
"301",6.4472023195077
"302",6.32354785057428
"303",6.51603724366288
"304",6.5047142476002
"305",6.1535234503376
"306",6.06349417618093
"307",6.39795735007128
"308",6.37193643945139
"309",6.42537526687733
"310",6.30050368142609
"311",6.39394139099157
"312",6.37841996437666
"313",6.44385278915189
"314",6.34404990566278
"315",6.34246034329993
"316",6.32763777169941
"317",6.37113432835062
"318",6.37262127186003
"319",6.24831774358566
"320",5.96997346099474
"321",6.01162387427957
"322",6.16969065866241
"323",6.3326596925148
"324",6.19689929553471
"325",6.3543736862752
"326",6.35247894051594
"327",6.50915351957776
"328",6.55028461254619
"329",6.75481318716578
"330",6.66718666521295
"331",6.78323619547335
"332",6.59697314589498
"333",6.64160414807335
"334",6.77375815117775
"335",6.71709811335111
"336",6.69798002512309
"337",6.64745242497879
"338",6.49617529793584
"339",6.12884028131852
"340",6.06987516722647
"341",6.22197255308185
"342",6.17646096928678
"343",6.19985785944543
"344",6.20640970446345
"345",6.40494176992196
"346",6.49707309990051
"347",6.20361986344982
"348",6.06464888645234
"349",6.22696813241342
"350",6.33435608473255
"351",6.35075822103441
"352",6.43056657247115
"353",6.47061987589921
"354",6.72273847259054
"355",6.48210050500134
"356",6.54156667700845
"357",6.67532509879766
"358",6.71356664450991
"359",6.30776605574949
"360",6.52528043890128
"361",6.63274464907995
"362",6.6716797580268
"363",6.6148550904558
"364",6.61170195172045
"365",6.62540422212899
"366",6.57252469870965
"367",6.39874350134446
"368",6.47137863431313
"369",6.46649977022325
"370",6.17907782510642
"371",6.09360535022082
"372",6.12288298288313
"373",6.11307157615117
"374",6.12034517225743
"375",5.98906658256116
"376",5.94124737099456
"377",5.91541795002541
"378",5.81345959534418
"379",5.95011816313669
"380",6.05728233383199
"381",6.11740659608645
"382",6.2727529629062
"383",6.21760391650136
"384",6.39574141070121
"385",6.29899017590444
"386",6.35118816500511
"387",6.31201673602881
"388",6.28039255883235
"389",6.26271723817074
"390",6.19200487547477
"391",6.19869342245241
"392",6.27605172814304
"393",6.1526402039496
"394",5.99929169472968
"395",5.96609941713997
"396",5.97939488739764
"397",5.97970740867866
"398",6.16708785303456
"399",6.10592754775397
"400",6.08794786879386
"401",5.9674616938754
"402",5.85168058893118
"403",5.86422400368401
"404",5.76272699869536
